Date,Time,TempC
4/21/2016,14:00:00,10.88
4/21/2016,15:00:00,11.16
4/21/2016,16:00:00,11.43
4/21/2016,17:00:00,11.5
4/21/2016,18:00:00,11.44
4/21/2016,19:00:00,11.26
4/21/2016,20:00:00,10.94
4/21/2016,21:00:00,10.56
4/21/2016,22:00:00,10.2
4/21/2016,23:00:00,9.84
4/22/2016,0:00:00,9.59
4/22/2016,1:00:00,9.41
4/22/2016,2:00:00,9.27
4/22/2016,3:00:00,9.16
4/22/2016,4:00:00,9.07
4/22/2016,5:00:00,9.01
4/22/2016,6:00:00,8.96
4/22/2016,7:00:00,8.93
4/22/2016,8:00:00,8.94
4/22/2016,9:00:00,8.98
4/22/2016,10:00:00,9.07
4/22/2016,11:00:00,9.25
4/22/2016,12:00:00,9.57
4/22/2016,13:00:00,9.74
4/22/2016,14:00:00,10.14
4/22/2016,15:00:00,10.48
4/22/2016,16:00:00,10.88
4/22/2016,17:00:00,10.78
4/22/2016,18:00:00,10.63
4/22/2016,19:00:00,10.51
4/22/2016,20:00:00,10.35
4/22/2016,21:00:00,9.99
4/22/2016,22:00:00,9.59
4/22/2016,23:00:00,9.25
4/23/2016,0:00:00,9.19
4/23/2016,1:00:00,9.13
4/23/2016,2:00:00,8.99
4/23/2016,3:00:00,8.9
4/23/2016,4:00:00,8.86
4/23/2016,5:00:00,8.88
4/23/2016,6:00:00,8.89
4/23/2016,7:00:00,8.83
4/23/2016,8:00:00,8.88
4/23/2016,9:00:00,8.99
4/23/2016,10:00:00,9.17
4/23/2016,11:00:00,9.63
4/23/2016,12:00:00,9.86
4/23/2016,13:00:00,10.2
4/23/2016,14:00:00,10.56
4/23/2016,15:00:00,10.99
4/23/2016,16:00:00,11.38
4/23/2016,17:00:00,11.63
4/23/2016,18:00:00,11.68
4/23/2016,19:00:00,11.68
4/23/2016,20:00:00,11.38
4/23/2016,21:00:00,10.91
4/23/2016,22:00:00,10.42
4/23/2016,23:00:00,10.09
4/24/2016,0:00:00,9.96
4/24/2016,1:00:00,10.02
4/24/2016,2:00:00,10.16
4/24/2016,3:00:00,10.21
4/24/2016,4:00:00,10.16
4/24/2016,5:00:00,10.17
4/24/2016,6:00:00,10.2
4/24/2016,7:00:00,10.28
4/24/2016,8:00:00,10.4
4/24/2016,9:00:00,10.55
4/24/2016,10:00:00,10.83
4/24/2016,11:00:00,11.15
4/24/2016,12:00:00,11.45
4/24/2016,13:00:00,11.85
4/24/2016,14:00:00,12.02
4/24/2016,15:00:00,12.13
4/24/2016,16:00:00,12.25
4/24/2016,17:00:00,12.29
4/24/2016,18:00:00,12.19
4/24/2016,19:00:00,11.99
4/24/2016,20:00:00,11.72
4/24/2016,21:00:00,11.47
4/24/2016,22:00:00,11.18
4/24/2016,23:00:00,10.89
4/25/2016,0:00:00,10.65
4/25/2016,1:00:00,10.45
4/25/2016,2:00:00,10.28
4/25/2016,3:00:00,10.15
