Rank,HDI,LEX,SCH,GNI,GRP
1,0.95252202,82.328,12.56682,68012.49292,4
2,0.94399757,83.473,13.408,57625.06971,4
3,0.938631285,83.068,12.85504,43560.05774,4
4,0.938410059,81.643,12.52629,53754.18626,4
5,0.93604342,81.178,14.08202,46135.84754,4
6,0.934879252,82.912,12.36378,45810.19585,4
7,0.932582914,84.097,12.03813,58419.70992,4
7,0.932804549,82.625,12.42605,47765.65603,4
9,0.932041606,83.218,11.47467,82503.12701,4
10,0.930638593,82.005,12.19001,47899.76157,4
11,0.929474111,80.878,12.58779,47918.49167,4
12,0.925952399,82.541,13.28189,43433.16672,4
13,0.923913589,79.541,13.37999,54941.10929,4
14,0.921548922,81.717,12.88865,39116.31163,4
15,0.919652775,81.496,12.43961,41002.27094,4
16,0.916687629,82.038,12.503,33969.73999,4
17,0.916066037,81.303,11.78389,42156.37247,4
17,0.916082868,80.41,12.54846,97335.74963,4
19,0.909152957,83.908,12.75,38986.15453,4
20,0.907755179,81.77,12.1487132,45415.10118,4
21,0.903938861,81.955,12.08015,65016.32689,4
22,0.903244841,82.664,12.95922,32711.3766,4
22,0.902561126,82.361,12.11633,35944.70949,4
24,0.90080244,82.716,11.51082,39253.94701,4
25,0.896223829,81.116,12.22188,30593.9569,4
26,0.891020216,83.301,9.81948,34258.29329,4
27,0.887561429,78.877,12.74035,30588.30081,4
28,0.879769445,83.169,10.1604,35299.24086,4
29,0.878186795,81.012,11.28811,34395.64694,4
30,0.871042039,77.709,12.66743,28993.24772,4
31,0.869934067,81.41,10.75089,24648.09694,4
32,0.868784385,80.67,12.10394,31567.6881,4
33,0.865075041,77.77,12.29398,26150.40263,4
34,0.86275666,77.412,10.78,67804.55851,4
35,0.857683594,81.663,10.15545,47573.87008,4
35,0.858135145,74.768,12.96103,28313.59678,4
37,0.855616448,78.331,9.80616,116817.9779,4
38,0.855200237,76.977,12.45251025,29467.32283,4
39,0.853266972,77.374,9.06,76427.21032,4
39,0.853298638,74.72,9.50218,49680.22069,4
41,0.847143039,74.719,12.84377,25002.46509,4
41,0.847113341,81.428,9.19096,27315.3583,4
43,0.846108339,77.038,9.41183,41579.92716,4
44,0.842858781,79.732,10.34355,21909.50098,4
45,0.837844634,76.063,11.88941,25392.97167,4
46,0.831102279,77.807,11.26731,22162.33726,4
47,0.82484965,76.738,9.94943,18460.73665,4
48,0.820989395,77.258,9.54601,36290.24957,4
49,0.816275487,71.222,12.01999,24232.5558,4
50,0.813692302,77.271,11.28716,16778.70192,4
51,0.813006249,74.874,11.81483,18740.11184,4
52,0.81119175,75.574,10.97836,22645.53847,4
53,0.807529596,73.07,12.2638,16323.46154,4
54,0.807126296,75.823,11.0799,26680.62448,4
55,0.803948433,77.645,8.71883,19930.40834,4
56,0.803066024,74.811,7.27567,70523.94058,4
57,0.801807695,75.452,10.16824,26107.27002,4
58,0.800268631,76.057,10.5569,15842.94268,4
58,0.800434604,70.027,11.784,22626.3906,4
60,0.798057343,76.153,9.840175077,19130.24003,3
60,0.798478438,73.445,12.32728,12830.5903,3
62,0.796528658,73.746,9.5,26076.89647,3
63,0.793864632,80.03,8.76355,14636.38192,3
64,0.790633981,76.009,7.96206,24803.98873,3
65,0.790120175,74.861,9.32,20189.31686,3
66,0.7893203,78.195,10.17,19178.20841,3
67,0.786693035,75.333,11.1272,13018.70813,3
68,0.784910973,78.495,10.02511,11885.50814,3
69,0.78391526,70.783,10.898,28622.30412,3
70,0.77953591,76.519,9.23618,20763.64427,3
70,0.779822329,73.436,12.81457,9186.409714,3
72,0.777844585,74.372,8.4,23977.62596,3
73,0.777267606,79.921,11.75078,7524.4,3
74,0.774034621,77.305,8.60085,16944.09546,3
75,0.771948499,73.78,8.67566,12863.74575,3
76,0.770010247,75.485,10.915,11325.62717,3
77,0.768450831,77.087,9.69292,11716.0207,3
